Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2015,04,08,17.7,1,Y
IDCJAC0010,086338,2015,04,09,19.1,1,Y
IDCJAC0010,086338,2015,04,10,18.7,1,Y
IDCJAC0010,086338,2015,04,11,23.7,1,Y
IDCJAC0010,086338,2015,04,12,18.3,1,Y
IDCJAC0010,086338,2015,04,13,19.1,1,Y
IDCJAC0010,086338,2015,04,14,24.7,1,Y
IDCJAC0010,086338,2015,04,15,27.6,1,Y
IDCJAC0010,086338,2015,04,16,17.8,1,Y
IDCJAC0010,086338,2015,04,17,17.1,1,Y
IDCJAC0010,086338,2015,04,18,21.9,1,Y
IDCJAC0010,086338,2015,04,19,14.7,1,Y
IDCJAC0010,086338,2015,04,20,16.2,1,Y
IDCJAC0010,086338,2015,04,21,17.7,1,Y
IDCJAC0010,086338,2015,04,22,19.5,1,Y
IDCJAC0010,086338,2015,04,23,19.2,1,Y
IDCJAC0010,086338,2015,04,24,21.1,1,Y
IDCJAC0010,086338,2015,04,25,15.0,1,Y
IDCJAC0010,086338,2015,04,26,15.4,1,Y
IDCJAC0010,086338,2015,04,27,15.1,1,Y
IDCJAC0010,086338,2015,04,28,16.0,1,Y
IDCJAC0010,086338,2015,04,29,17.1,1,Y
IDCJAC0010,086338,2015,04,30,19.6,1,Y
IDCJAC0010,086338,2015,05,01,23.1,1,Y
IDCJAC0010,086338,2015,05,02,22.2,1,Y
IDCJAC0010,086338,2015,05,03,18.2,1,Y
IDCJAC0010,086338,2015,05,04,22.3,1,Y
IDCJAC0010,086338,2015,05,05,18.1,1,Y
IDCJAC0010,086338,2015,05,06,16.2,1,Y
IDCJAC0010,086338,2015,05,07,15.6,1,Y
IDCJAC0010,086338,2015,05,08,15.9,1,Y
IDCJAC0010,086338,2015,05,09,18.7,1,Y
IDCJAC0010,086338,2015,05,10,16.6,1,Y
IDCJAC0010,086338,2015,05,11,15.9,1,Y
IDCJAC0010,086338,2015,05,12,17.4,1,Y
IDCJAC0010,086338,2015,05,13,12.8,1,Y
IDCJAC0010,086338,2015,05,14,14.6,1,Y
IDCJAC0010,086338,2015,05,15,14.5,1,Y
IDCJAC0010,086338,2015,05,16,16.2,1,Y
IDCJAC0010,086338,2015,05,17,20.5,1,Y
IDCJAC0010,086338,2015,05,18,20.4,1,Y
IDCJAC0010,086338,2015,05,19,16.2,1,Y
IDCJAC0010,086338,2015,05,20,18.1,1,Y
IDCJAC0010,086338,2015,05,21,13.6,1,Y
IDCJAC0010,086338,2015,05,22,14.1,1,Y
IDCJAC0010,086338,2015,05,23,13.3,1,Y
IDCJAC0010,086338,2015,05,24,15.6,1,Y
